brand,model,price_in_pln,mileage,gearbox,engine_capacity,fuel_type,city,voivodeship,year
nissan,Nissan Qashqai 1.6 DIG-T Acenta,82900.0,158 000 km,manual,1 461 cm3,Diesel,Świebodzin,Lubuskie,2017
nissan,Nissan Qashqai,79900.0,158 000 km,manual,1 461 cm3,Diesel,Bielsko-Biała,Śląskie,2017
nissan,Nissan X-Trail 1.6 DCi Tekna,67999.0,105 578 km,manual,1 198 cm3,Benzyna,Warszawa,Mazowieckie,2016
nissan,Nissan Qashqai 1.2 DIG-T Visia,49000.0,105 578 km,manual,1 198 cm3,Benzyna,Warszawa,Mazowieckie,2016
nissan,Nissan Micra,34500.0,155 000 km,manual,1 197 cm3,Benzyna,Suchy Las,Wielkopolskie,2015
nissan,Nissan X-Trail 1.6 DCi Tekna 4WD,79000.0,155 000 km,manual,1 197 cm3,Benzyna,Wrocław,Dolnośląskie,2015
nissan,Nissan Juke,55900.0,38 000 km,manual,1 197 cm3,Benzyna,Kalisz,Wielkopolskie,2015
nissan,Nissan Qashqai 1.5 dCi Tekna+,59900.0,38 000 km,manual,1 197 cm3,Benzyna,Góra Kalwaria,Mazowieckie,2015
nissan,Nissan Qashqai 1.2 DIG-T N-Connecta,82900.0,115 880 km,manual,1 197 cm3,Benzyna,Radom,Mazowieckie,2017
nissan,Nissan Qashqai,74900.0,115 880 km,manual,1 197 cm3,Benzyna,Ząbkowice Śląskie,Dolnośląskie,2017
nissan,Nissan X-Trail 1.6 DCi Tekna 4WD 7os,66900.0,32 000 km,manual,1 461 cm3,Diesel,Ostrów Wielkopolski,Wielkopolskie,2019
nissan,Nissan Qashqai 1.2 DIG-T 360,47700.0,32 000 km,manual,1 461 cm3,Diesel,Tomaszów Mazowiecki,Łódzkie,2019
nissan,Nissan X-Trail,94900.0,85 000 km,manual,1 618 cm3,Benzyna,Płock,Mazowieckie,2018
nissan,Nissan Qashqai 1.2 DIG-T Acenta EU6,74900.0,85 000 km,manual,1 618 cm3,Benzyna,Biała Podlaska,Lubelskie,2018
nissan,Nissan Pulsar 1.2 DIG-T Black Edition,16500.0,111 656 km,manual,1 618 cm3,Benzyna,Rakoniewice,Wielkopolskie,2017
nissan,Nissan Qashqai,94900.0,111 656 km,manual,1 618 cm3,Benzyna,Kraków,Małopolskie,2017
nissan,Nissan Qashqai 1.6 DCi Black Edition EU6,79900.0,114 500 km,manual,1 598 cm3,Diesel,Rzgów,Łódzkie,2016
nissan,Nissan Qashqai 1.5 dCi Tekna,57900.0,114 500 km,manual,1 598 cm3,Diesel,Parysów,Mazowieckie,2016
nissan,Nissan Qashqai 1.3 DIG-T N-Connecta,87700.0,118 000 km,manual,1 197 cm3,Benzyna,Jastrząb,Śląskie,2015
nissan,Nissan Qashqai,62900.0,118 000 km,manual,1 197 cm3,Benzyna,Słupca,Wielkopolskie,2015
nissan,Nissan Qashqai 1.3 DIG-T Tekna+,82000.0,62 000 km,manual,1 332 cm3,Benzyna,Dzierżążno,Pomorskie,2018
nissan,Nissan Juke 1.2 DIG-T N-Connecta,59400.0,62 000 km,manual,1 332 cm3,Benzyna,Gomulin-Kolonia,Łódzkie,2018
nissan,Nissan X-Trail 1.6 DCi Tekna 4WD EU6,74000.0,53 000 km,manual,1 197 cm3,Benzyna,Wrocław,Dolnośląskie,2017
nissan,Nissan X-Trail 1.6 DIG-T Tekna 2WD 7os,77900.0,53 000 km,manual,1 197 cm3,Benzyna,Kamienna Góra,Dolnośląskie,2017
nissan,Nissan Micra,21900.0,130 000 km,manual,1 598 cm3,Diesel,Kielce,Świętokrzyskie,2016
nissan,Nissan X-Trail 1.6 DCi Visia 2WD EU6,59900.0,130 000 km,manual,1 598 cm3,Diesel,Dzierżążno,Pomorskie,2016
nissan,Nissan X-Trail 1.6 DIG-T N-Connecta 2WD,61500.0,150 000 km,manual,1 618 cm3,Benzyna,Dzierżążno,Pomorskie,2017
nissan,Nissan Qashqai 1.2 DIG-T N-Connecta EU6,56500.0,150 000 km,manual,1 618 cm3,Benzyna,Wadowice Górne,Podkarpackie,2017
nissan,Nissan Micra 1.2 Visia EU6,33900.0,33 731 km,manual,898 cm3,Benzyna,Częstochowa,Śląskie,2018
nissan,Nissan Micra 1.0 IG-T N-Sport,59900.0,33 731 km,manual,898 cm3,Benzyna,Kalwaria Zebrzydowska,Małopolskie,2018
nissan,Nissan Juke 1.5 dCi 360,59900.0,87 920 km,manual,1 598 cm3,Diesel,Wągrowiec,Wielkopolskie,2015
nissan,Nissan Qashqai 1.6 DIG-T Tekna,72000.0,87 920 km,manual,1 598 cm3,Diesel,Łaziska,Śląskie,2015
nissan,Nissan Qashqai,73900.0,165 000 km,manual,1 618 cm3,Benzyna,Białystok,Podlaskie,2015
nissan,Nissan Juke 1.2 DIG-T Tekna (lea) EU6,37777.0,165 000 km,manual,1 618 cm3,Benzyna,Bilcza,Świętokrzyskie,2015
nissan,Nissan Pulsar,35900.0,69 000 km,manual,1 197 cm3,Benzyna,Brzeziny,Świętokrzyskie,2015
nissan,Nissan X-Trail,89900.0,69 000 km,manual,1 197 cm3,Benzyna,Goczałkowice-Zdrój,Śląskie,2015
nissan,Nissan X-Trail,89900.0,114 900 km,manual,1 198 cm3,Benzyna,Goczałkowice-Zdrój,Śląskie,2017
nissan,Nissan Qashqai,57900.0,114 900 km,manual,1 198 cm3,Benzyna,Mrągowo,Warmińsko-mazurskie,2017
nissan,Nissan Qashqai 1.5 dCi Acenta,79900.0,20 000 km,manual,999 cm3,Benzyna,Wysokie Mazowieckie,Podlaskie,2019
nissan,Nissan Qashqai,72700.0,20 000 km,manual,999 cm3,Benzyna,Nowy Sącz,Małopolskie,2019
nissan,Nissan Qashqai,53900.0,47 000 km,manual,1 461 cm3,Diesel,Jastrzębie-Zdrój,Śląskie,2018
nissan,Nissan Juke,63850.0,47 000 km,manual,1 461 cm3,Diesel,Konin,Wielkopolskie,2018
nissan,Nissan Navara,32900.0,110 000 km,manual,1 618 cm3,Benzyna,Olsztyn,Warmińsko-mazurskie,2015
nissan,Nissan Qashqai 1.3 DIG-T N-CONNECTA,89000.0,110 000 km,manual,1 618 cm3,Benzyna,Blachownia,Śląskie,2015
nissan,Nissan Qashqai,83900.0,57 000 km,manual,1 197 cm3,Benzyna,Jastrzębie-Zdrój,Śląskie,2017
nissan,Nissan Qashqai,64900.0,57 000 km,manual,1 197 cm3,Benzyna,Brodowo,Wielkopolskie,2017
nissan,Nissan Qashqai 1.6 DIG-T 360,64800.0,55 000 km,manual,1 197 cm3,Benzyna,Lublin,Lubelskie,2017
nissan,Nissan Pulsar,13900.0,55 000 km,manual,1 197 cm3,Benzyna,Ostrów Wielkopolski,Wielkopolskie,2017
nissan,Nissan Pulsar,35300.0,142 300 km,manual,1 197 cm3,Benzyna,Bydgoszcz,Kujawsko-pomorskie,2016
nissan,Nissan Note 1.2 Acenta Plus,28900.0,142 300 km,manual,1 197 cm3,Benzyna,Ozorków,Łódzkie,2016
nissan,Nissan Juke,19900.0,12 000 km,manual,1 600 cm3,Benzyna,Ostrów Wielkopolski,Wielkopolskie,2017
nissan,Nissan Qashqai 1.5 dCi Tekna,38900.0,12 000 km,manual,1 600 cm3,Benzyna,Miękinia,Dolnośląskie,2017
nissan,Nissan Qashqai 1.6 DIG-T N-Connecta,75900.0,66 584 km,manual,1 618 cm3,Benzyna,Radzymin,Mazowieckie,2017
nissan,Nissan Micra 1.5 dCi N-Connecta,39999.0,66 584 km,manual,1 618 cm3,Benzyna,Nowy Sącz,Małopolskie,2017
nissan,Nissan X-Trail 1.6 DCi N-Connecta 4WD EU6,61800.0,158 000 km,manual,1 461 cm3,Diesel,Olsztyn,Warmińsko-mazurskie,2018
nissan,Nissan Micra 1.2 Acenta,9900.0,158 000 km,manual,1 461 cm3,Diesel,Jaworze,Śląskie,2018
nissan,Nissan Qashqai 1.2 DIG-T Acenta,47900.0,189 722 km,manual,1 598 cm3,Diesel,Włoszczowa,Świętokrzyskie,2015
nissan,Nissan Qashqai,78000.0,189 722 km,manual,1 598 cm3,Diesel,Częstochowa,Śląskie,2015
nissan,Nissan Navara,38800.0,69 000 km,manual,1 198 cm3,Benzyna,Ostrów Wielkopolski,Wielkopolskie,2015
nissan,Nissan Note 1.2 DIG-S Acenta EU6,39900.0,69 000 km,manual,1 198 cm3,Benzyna,Konstancin-Jeziorna,Mazowieckie,2015
nissan,Nissan Micra 1.2 Acenta,30000.0,138 000 km,manual,1 197 cm3,Benzyna,Radzymin,Mazowieckie,2016
nissan,Nissan Qashqai 1.5 dCi Tekna,65000.0,138 000 km,manual,1 197 cm3,Benzyna,Tczew,Pomorskie,2016
nissan,Nissan X-Trail 1.6 DCi Tekna 4WD EU6,67999.0,89 000 km,manual,1 197 cm3,Benzyna,Staszów,Świętokrzyskie,2018
nissan,Nissan Qashqai,40000.0,89 000 km,manual,1 197 cm3,Benzyna,Warszawa,Mazowieckie,2018
