dmr_make,dmr_model,age_band,band_years,approx_age_years,price_bracket_id,price_bracket_label,entry_price_dkk,entry_price_reference_km,exit_age_band,hold_years,shorter_than_6yr_horizon,horizon_available,resale_price_dkk,mileage_adjustment_factor,depreciation_dkk,depreciation_available,fuel_total_dkk,ejerafgift_total_dkk,repair_total_dkk,tco_total_dkk,tco_per_year,running_cost_per_year,standardized_pass_rate,raw_pass_rate,repair_burden_index,median_annual_fuel_cost_dkk,median_annual_ejerafgift_dkk,engagement_score,reliability_unstable,meets_stability_floor,dk_vehicle_count,n_nt_tests,price_n_listings,price_pooled_at_brand,price_calibration_factor,price_confidence,donor_model,excluded_from_rank,excluded_from_running_cost_rank,exclusion_reason,is_hybrid,is_diesel_dominant,cost_rank_in_group,cost_tier,value_for_money_score,value_for_money_weight_cost,value_for_money_weight_engagement,value_for_money_rank_in_group,value_for_money_tier,running_cost_rank_overall,running_cost_tier
OPEL,Grandland X,2,2017-2019,8.0,4,"150,000-250,000 DKK",172641,139375,4,,False,True,,,,False,,,,,14249,14249,,1.0,,11808.962264150945,2440.0,0.4135,True,False,1310,1,255,False,0.7098,high,,True,True,no_exit_band_data,False,False,,,,,,,,,
AUDI,Q2,1,2020-2022,5.0,5,"Above 250,000 DKK",536880,105250,3,6.0,False,True,122042,0.8002,414838,True,75864,9600,5978,506279,84380,15240,0.8927,0.8978,0.3321,12643.939393939394,1600.0,0.743,False,True,1089,135858,486,True,0.7098,low,,False,False,,False,False,50,C,0.5093,0.5,0.5,30,B,197,B
AUDI,Q2,2,2017-2019,8.0,4,"150,000-250,000 DKK",248685,139375,4,,False,True,,,,False,,,,,16507,16507,0.8586,0.8721,0.4312,12772.959183673469,2440.0,0.7524,False,True,1511,23432,486,True,0.7098,low,,True,False,no_exit_band_data,False,False,,,,,,,,254,B
AUDI,Q2,3,2014-2016,11.0,4,"150,000-250,000 DKK",152509,139375,4,,True,True,,,,False,,,,,14799,14799,,1.0,,13039.062500000002,1760.0,0.7568,True,False,68,3,486,True,0.7098,low,,True,True,no_exit_band_data,False,False,,,,,,,,,
MERCEDES-BENZ,GLC,1,2020-2022,5.0,5,"Above 250,000 DKK",561416,105250,3,6.0,False,True,305591,0.8002,255825,True,62713,6960,7772,333271,55545,12908,0.8768,0.8725,0.4318,10452.19123505976,1160.0,0.5111,False,True,872,163421,375,False,0.7098,high,,False,False,,True,True,29,B,0.3796,0.5,0.5,45,C,80,A
MERCEDES-BENZ,GLC,2,2017-2019,8.0,5,"Above 250,000 DKK",417323,139375,4,,False,True,,,,False,,,,,22599,22599,0.8411,0.8366,0.5961,14991.017964071858,5820.0,0.678,False,True,818,51250,375,False,0.7098,high,,True,False,no_exit_band_data,False,True,,,,,,,,468,C
MERCEDES-BENZ,GLC,3,2014-2016,11.0,5,"Above 250,000 DKK",381879,139375,4,,True,True,,,,False,,,,,20179,20179,,0.8225,0.7006,13117.499999999998,4960.0,0.6223,True,False,362,169,375,False,0.7098,high,,True,True,no_exit_band_data,False,True,,,,,,,,,
FORD,GALAXY,1,2020-2022,5.0,4,"150,000-250,000 DKK",171192,105250,3,6.0,False,True,91340,0.8002,79852,True,80758,27840,8242,196693,32782,19473,0.8202,0.801,0.4579,13459.677419354839,4640.0,0.5534,False,True,67,43215,107,False,0.7098,high,,False,False,,False,True,28,B,0.5305,0.5,0.5,35,B,389,C
FORD,GALAXY,2,2017-2019,8.0,4,"150,000-250,000 DKK",161378,139375,4,6.5,False,True,57002,0.8906,104376,True,88816,32240,18964,244396,37599,21542,0.723,0.683,0.9725,13664.062499999998,4960.0,0.5727,False,True,411,50801,107,False,0.7098,high,,False,False,,False,True,51,B,0.4207,0.5,0.5,55,B,450,C
FORD,GALAXY,3,2014-2016,11.0,3,"90,000-150,000 DKK",114142,139375,4,3.5,True,True,68208,1.0657,45934,True,49634,21140,15718,132426,37836,24712,0.615,0.5775,1.497,14181.08108108108,6040.0,0.58,False,True,322,53134,107,False,0.7098,high,,False,False,,False,True,119,D,0.2857,0.5,0.5,104,C,498,D
