dmr_make,dmr_model,age_band,chapter,chapter_name,n_defects_2_3er,n_tests,defect_rate_per_test
AUDI,A1 SPORTBACK,4,0,Identifikasjon av kjoretoyet (vehicle identification),0,183,0.0
FORD,B-MAX,1,0,Identifikasjon av kjoretoyet (vehicle identification),0,5,0.0
TOYOTA,Toyota C-HR,1,0,Identifikasjon av kjoretoyet (vehicle identification),10,14399,0.0007
MITSUBISHI,OUTLANDER,1,0,Identifikasjon av kjoretoyet (vehicle identification),56,27166,0.0021
SUZUKI,SX4,4,0,Identifikasjon av kjoretoyet (vehicle identification),12,4809,0.0025
TOYOTA,AURIS,3,0,Identifikasjon av kjoretoyet (vehicle identification),85,23427,0.0036
TOYOTA,AVENSIS STW,3,0,Identifikasjon av kjoretoyet (vehicle identification),58,12867,0.0045
VOLKSWAGEN,TIGUAN,1,0,Identifikasjon av kjoretoyet (vehicle identification),8,8054,0.001
SKODA,OCTAVIA COMBI,3,0,Identifikasjon av kjoretoyet (vehicle identification),114,19319,0.0059
VOLVO,V60,2,0,Identifikasjon av kjoretoyet (vehicle identification),8,6546,0.0012
VOLKSWAGEN,T-Roc,1,0,Identifikasjon av kjoretoyet (vehicle identification),9,7258,0.0012
HYUNDAI,I20,3,0,Identifikasjon av kjoretoyet (vehicle identification),14,4313,0.0032
BMW,5-Serie,1,0,Identifikasjon av kjoretoyet (vehicle identification),9,4543,0.002
NISSAN,MICRA,3,0,Identifikasjon av kjoretoyet (vehicle identification),2,871,0.0023
OPEL,CORSA,4,0,Identifikasjon av kjoretoyet (vehicle identification),11,3017,0.0036
RENAULT,CLIO,3,0,Identifikasjon av kjoretoyet (vehicle identification),27,1622,0.0166
SUZUKI,VITARA,1,0,Identifikasjon av kjoretoyet (vehicle identification),5,3773,0.0013
MERCEDES-BENZ,B-Klasse,1,0,Identifikasjon av kjoretoyet (vehicle identification),5,856,0.0058
DACIA,Duster,1,0,Identifikasjon av kjoretoyet (vehicle identification),4,767,0.0052
