dmr_make,dmr_model,age_band,uk_n,uk_rate,no_n,no_rate
VOLKSWAGEN,CADDY,4,105036,0.6293,1082,0.3295
VOLKSWAGEN,GOLF,4,702042,0.6312,32682,0.3617
VOLKSWAGEN,PASSAT,4,179641,0.6539,15462,0.3582
VOLKSWAGEN,PASSAT VARIANT,4,179641,0.6539,15462,0.3582
VOLKSWAGEN,POLO,4,453217,0.5251,11528,0.2835
VOLKSWAGEN,TIGUAN,4,67681,0.6557,11058,0.4298
VOLKSWAGEN,TOURAN,4,89748,0.6157,10414,0.3694
VOLKSWAGEN,UP!,4,4818,0.6658,234,0.3556
VOLVO,V40,4,536,0.6095,243,0.4277
VOLVO,V50,4,70312,0.592,11296,0.3229
VOLVO,V60,4,5964,0.7039,3752,0.5042
VOLVO,V70,4,49882,0.6929,17685,0.4781
VOLVO,XC60,4,29544,0.7172,9334,0.5516
VOLVO,XC90,4,52865,0.6504,1825,0.414
