dmr_make,dmr_model,age_band,uk_n_all,uk_rate_all,no_n_all,no_rate_all,uk_n_mechanical,uk_rate_mechanical,no_n_mechanical,no_rate_mechanical,uk_n_consumable,uk_rate_consumable,no_n_consumable,no_rate_consumable
PEUGEOT,508,2,16992,0.7558,919,0.576,16992,0.8747,919,0.78,16992,0.8335,919,0.8002
RENAULT,CLIO,2,270614,0.5779,641,0.3799,270614,0.69,641,0.6417,270614,0.7526,641,0.7548
RENAULT,Captur,2,217199,0.6991,1187,0.5379,217199,0.8032,1187,0.7455,217199,0.8233,1187,0.8514
RENAULT,Kadjar,2,80055,0.7145,688,0.6241,80055,0.8475,688,0.7589,80055,0.8066,688,0.8803
RENAULT,MEGANE,2,76421,0.6244,326,0.5413,76421,0.7505,326,0.6908,76421,0.7599,326,0.761
RENAULT,MEGANE SPORT TOURER,2,76421,0.6244,326,0.5413,76421,0.7505,326,0.6908,76421,0.7599,326,0.761
RENAULT,Ny Clio,2,270614,0.5779,641,0.3799,270614,0.69,641,0.6417,270614,0.7526,641,0.7548
SKODA,CITIGO,2,90119,0.7425,474,0.5609,90119,0.8625,474,0.6209,90119,0.8288,474,0.8667
SKODA,FABIA,2,206097,0.7502,3224,0.5917,206097,0.8553,3224,0.7214,206097,0.8458,3224,0.8855
SKODA,FABIA COMBI,2,206097,0.7502,3224,0.5917,206097,0.8553,3224,0.7214,206097,0.8458,3224,0.8855
SKODA,KODIAQ,2,10604,0.86,2105,0.8122,10604,0.9554,2105,0.8682,10604,0.8927,2105,0.9567
SKODA,OCTAVIA,2,207012,0.8304,13702,0.6923,207012,0.9233,13702,0.7991,207012,0.8846,13702,0.918
SKODA,OCTAVIA COMBI,2,207012,0.8304,13702,0.6923,207012,0.9233,13702,0.7991,207012,0.8846,13702,0.918
SKODA,RAPID,2,44650,0.7546,1389,0.597,44650,0.8671,1389,0.742,44650,0.8363,1389,0.8984
SKODA,RAPID SPACEBACK,2,44650,0.7546,1389,0.597,44650,0.8671,1389,0.742,44650,0.8363,1389,0.8984
SKODA,SUPERB,2,70222,0.8086,5609,0.6255,70222,0.9038,5609,0.7998,70222,0.8771,5609,0.9242
SKODA,SUPERB COMBI,2,70222,0.8086,5609,0.6255,70222,0.9038,5609,0.7998,70222,0.8771,5609,0.9242
SUZUKI,IGNIS,2,11263,0.7405,813,0.5707,11263,0.8297,813,0.7786,11263,0.8613,813,0.8851
SUZUKI,SWIFT,2,121329,0.7371,2129,0.6107,121329,0.8944,2129,0.7228,121329,0.7904,2129,0.8289
SUZUKI,SX4,2,47937,0.7644,2476,0.7009,47937,0.8807,2476,0.8193,47937,0.8385,2476,0.8794
SUZUKI,SX4 COMBIBACK,2,47937,0.7644,2476,0.7009,47937,0.8807,2476,0.8193,47937,0.8385,2476,0.8794
SUZUKI,VITARA,2,62774,0.7919,3777,0.7425,62774,0.9312,3777,0.8328,62774,0.8321,3777,0.8857
TOYOTA,AURIS,2,187854,0.8001,15458,0.7014,187854,0.9339,15458,0.8072,187854,0.8389,15458,0.8424
TOYOTA,AVENSIS,2,39536,0.8235,3935,0.7704,39536,0.9376,3935,0.869,39536,0.8627,3935,0.8944
TOYOTA,AVENSIS STW,2,39536,0.8235,3935,0.7704,39536,0.9376,3935,0.869,39536,0.8627,3935,0.8944
TOYOTA,AYGO,2,243144,0.7637,608,0.4647,243144,0.8903,608,0.5777,243144,0.8293,608,0.8546
TOYOTA,AYGO 3/5-DØRS,2,243144,0.7637,608,0.4647,243144,0.8903,608,0.5777,243144,0.8293,608,0.8546
TOYOTA,AYGO 5-DØRS,2,243144,0.7637,608,0.4647,243144,0.8903,608,0.5777,243144,0.8293,608,0.8546
TOYOTA,RAV4,2,68420,0.828,15118,0.6694,68420,0.9215,15118,0.833,68420,0.8846,15118,0.9162
TOYOTA,RAV4 Plug in,2,68420,0.828,15118,0.6694,68420,0.9215,15118,0.833,68420,0.8846,15118,0.9162
TOYOTA,Toyota C-HR,2,27660,0.8197,4126,0.7276,27660,0.9561,4126,0.8433,27660,0.8466,4126,0.8949
TOYOTA,VERSO,2,36434,0.7807,178,0.5929,36434,0.9159,178,0.6971,36434,0.829,178,0.7877
TOYOTA,YARIS,2,339969,0.7588,15223,0.5882,339969,0.9007,15223,0.7054,339969,0.8176,15223,0.8406
TOYOTA,YARIS 5-DØRS,2,339969,0.7588,15223,0.5882,339969,0.9007,15223,0.7054,339969,0.8176,15223,0.8406
VOLKSWAGEN,CADDY,2,143064,0.7366,818,0.5657,143064,0.8576,818,0.7443,143064,0.8187,818,0.8382
VOLKSWAGEN,GOLF,2,760031,0.8319,24534,0.6945,760031,0.9218,24534,0.8092,760031,0.8867,24534,0.9133
VOLKSWAGEN,Golf Sportsvan,2,760031,0.8319,2883,0.7367,760031,0.9218,2883,0.8502,760031,0.8867,2883,0.9272
VOLKSWAGEN,PASSAT,2,176131,0.8128,14320,0.6562,176131,0.901,14320,0.7946,176131,0.8833,14320,0.9305
VOLKSWAGEN,PASSAT VARIANT,2,176131,0.8128,14320,0.6562,176131,0.901,14320,0.7946,176131,0.8833,14320,0.9305
VOLKSWAGEN,POLO,2,549602,0.7083,5290,0.6085,549602,0.8221,5290,0.7396,549602,0.8156,5290,0.8674
VOLKSWAGEN,T-Roc,2,4501,0.8652,288,0.8251,4501,0.9624,288,0.8715,4501,0.8911,288,0.9643
VOLKSWAGEN,TIGUAN,2,215326,0.8182,7466,0.7227,215326,0.8928,7466,0.8379,215326,0.8969,7466,0.9312
VOLKSWAGEN,TOURAN,2,50827,0.7822,2051,0.6479,50827,0.9012,2051,0.8172,50827,0.8472,2051,0.8954
VOLKSWAGEN,UP!,2,193174,0.7483,1503,0.5671,193174,0.8716,1503,0.6426,193174,0.8294,1503,0.8358
VOLVO,V40,2,167485,0.7322,6391,0.6842,167485,0.8367,6391,0.8299,167485,0.8458,6391,0.9121
VOLVO,V60,2,41525,0.7994,6546,0.7618,41525,0.9163,6546,0.8494,41525,0.8554,6546,0.9218
VOLVO,V70,2,16609,0.8141,2502,0.7577,16609,0.9243,2502,0.8264,16609,0.8672,2502,0.9306
VOLVO,V90,2,6265,0.8222,4670,0.739,6265,0.9034,4670,0.8251,6265,0.897,4670,0.9336
VOLVO,XC60,2,130318,0.7946,9732,0.7475,130318,0.8926,9732,0.8982,130318,0.8718,9732,0.8892
VOLVO,XC90,2,41869,0.8068,5537,0.7068,41869,0.8993,5537,0.8148,41869,0.88,5537,0.927
ALFA ROMEO,GIULIETTA,3,40861,0.646,258,0.4506,40861,0.7925,258,0.7378,40861,0.7514,258,0.645
AUDI,A1 SPORTBACK,3,198126,0.6843,3090,0.4854,198126,0.8004,3090,0.6344,198126,0.7999,3090,0.8344
AUDI,A3,3,330699,0.729,11732,0.546,330699,0.8381,11732,0.7331,330699,0.8254,11732,0.8202
AUDI,A3 Limousine,3,330699,0.729,391,0.5605,330699,0.8381,391,0.7934,330699,0.8254,391,0.8086
AUDI,A3 Sportback,3,330699,0.729,9047,0.5648,330699,0.8381,9047,0.7446,330699,0.8254,9047,0.8386
AUDI,A4 AVANT,3,176038,0.7586,2969,0.5893,176038,0.8685,2969,0.7274,176038,0.8385,2969,0.8267
AUDI,A5 SPORTBACK,3,119471,0.7621,880,0.583,119471,0.8816,880,0.7021,119471,0.8305,880,0.8315
AUDI,A6 AVANT,3,102351,0.8004,2163,0.6959,102351,0.896,2163,0.8301,102351,0.869,2163,0.883
AUDI,Q3,3,76253,0.7367,2899,0.4962,76253,0.8271,2899,0.7676,76253,0.8519,2899,0.8159
AUDI,Q5,3,67928,0.7915,5548,0.628,67928,0.871,5548,0.7621,67928,0.879,5548,0.8437
BMW,1-Serie,3,346722,0.7194,5856,0.4737,346722,0.8619,5856,0.6629,346722,0.7915,5856,0.7459
BMW,2-Serie,3,13126,0.7596,949,0.5958,13126,0.8702,949,0.8047,13126,0.837,949,0.8484
BMW,3-Serie,3,380196,0.7446,8958,0.5387,380196,0.8712,8958,0.7173,380196,0.8169,8958,0.7825
BMW,4-serie,3,28892,0.7882,422,0.5427,28892,0.8996,422,0.6863,28892,0.85,422,0.7803
BMW,5-Serie,3,160217,0.7764,8687,0.5144,160217,0.8887,8687,0.7265,160217,0.8472,8687,0.8373
BMW,X1,3,70155,0.7384,5709,0.4934,70155,0.8596,5709,0.6814,70155,0.8223,5709,0.8064
BMW,X3,3,63204,0.7455,9399,0.5414,63204,0.9008,9399,0.7865,63204,0.8026,9399,0.7488
BMW,X5,3,49504,0.8011,2684,0.5907,49504,0.8965,2684,0.8202,49504,0.8692,2684,0.8351
CHEVROLET,SPARK,3,36446,0.5256,308,0.2083,36446,0.6858,308,0.3376,36446,0.6651,308,0.5569
CITROËN,BERLINGO,3,127260,0.5579,704,0.3967,127260,0.7143,704,0.6099,127260,0.6835,704,0.6353
CITROËN,C 1,3,166558,0.6312,880,0.2788,166558,0.7833,880,0.3737,166558,0.7403,880,0.5634
CITROËN,C1,3,166558,0.6312,880,0.2788,166558,0.7833,880,0.3737,166558,0.7403,880,0.5634
CITROËN,C3,3,184209,0.5477,1322,0.2593,184209,0.6998,1322,0.4617,184209,0.6813,1322,0.5467
CITROËN,C3 PICASSO,3,1912,0.6117,382,0.2742,1912,0.7673,382,0.4631,1912,0.712,382,0.5497
CITROËN,C4,3,133337,0.5713,5303,0.384,133337,0.7156,5303,0.5707,133337,0.7113,5303,0.6929
CITROËN,C4 PICASSO,3,1263,0.5692,1484,0.3534,1263,0.728,1484,0.5569,1263,0.7138,1484,0.6271
CITROËN,DS3,3,150218,0.5128,1430,0.2836,150218,0.6512,1430,0.4274,150218,0.6669,1430,0.5525
DACIA,Duster,3,25225,0.5805,489,0.2791,25225,0.701,489,0.444,25225,0.7337,489,0.589
FIAT,500,3,338208,0.5863,2045,0.2839,338208,0.7166,2045,0.4209,338208,0.7326,2045,0.6337
FIAT,PANDA,3,86616,0.5866,332,0.3371,86616,0.7058,332,0.4794,86616,0.7491,332,0.7587
FORD,B-MAX,3,67336,0.6108,1129,0.3292,67336,0.7732,1129,0.5897,67336,0.7239,1129,0.6563
FORD,C-MAX,3,129588,0.6759,1829,0.5246,129588,0.824,1829,0.6977,129588,0.7686,1829,0.7043
FORD,FIESTA,3,1204198,0.5888,8583,0.3349,1204198,0.7313,8583,0.5147,1204198,0.7216,8583,0.6643
FORD,FIESTA 5 DØRS,3,1204198,0.5888,8583,0.3349,1204198,0.7313,8583,0.5147,1204198,0.7216,8583,0.6643
FORD,FOCUS,3,815540,0.6391,15257,0.4713,815540,0.7871,15257,0.6804,815540,0.7484,15257,0.6898
FORD,FOCUS STATIONSVOGN,3,815540,0.6391,15257,0.4713,815540,0.7871,15257,0.6804,815540,0.7484,15257,0.6898
FORD,Focus,3,815540,0.6391,15257,0.4713,815540,0.7871,15257,0.6804,815540,0.7484,15257,0.6898
FORD,GALAXY,3,53134,0.6152,1766,0.4029,53134,0.7813,1766,0.5824,53134,0.7128,1766,0.578
FORD,KA,3,207813,0.5973,505,0.3178,207813,0.7182,505,0.5258,207813,0.7492,505,0.6688
FORD,KUGA,3,145744,0.6932,7170,0.5831,145744,0.8265,7170,0.7506,145744,0.7886,7170,0.8137
FORD,MONDEO,3,179621,0.6968,9588,0.5284,179621,0.83,9588,0.7095,179621,0.7909,9588,0.7589
FORD,MONDEO STATIONCAR,3,179621,0.6968,9588,0.5284,179621,0.83,9588,0.7095,179621,0.7909,9588,0.7589
FORD,NY Focus,3,815540,0.6391,15257,0.4713,815540,0.7871,15257,0.6804,815540,0.7484,15257,0.6898
FORD,S-MAX,3,83367,0.6595,5510,0.4375,83367,0.7956,5510,0.6048,83367,0.7719,5510,0.7324
HONDA,CIVIC,3,169956,0.6896,2369,0.6203,169956,0.8647,2369,0.7796,169956,0.7511,2369,0.747
HONDA,CR-V,3,144194,0.7872,6725,0.6702,144194,0.8938,6725,0.8451,144194,0.8541,6725,0.7654
HONDA,JAZZ,3,247854,0.7267,1643,0.5194,247854,0.8869,1643,0.6338,247854,0.7831,1643,0.7231
HYUNDAI,I 10,3,240058,0.596,1046,0.3127,240058,0.7711,1046,0.4017,240058,0.6986,1046,0.6199
HYUNDAI,I10,3,240058,0.596,1046,0.3127,240058,0.7711,1046,0.4017,240058,0.6986,1046,0.6199
HYUNDAI,I20,3,130770,0.592,4313,0.3843,130770,0.7434,4313,0.5025,130770,0.7114,4313,0.6422
HYUNDAI,I30,3,116869,0.5823,164,0.3876,116869,0.7202,164,0.5888,116869,0.718,164,0.6143
HYUNDAI,I30CW,3,116869,0.5823,164,0.3876,116869,0.7202,164,0.5888,116869,0.718,164,0.6143
HYUNDAI,I40,3,24245,0.6726,2466,0.3676,24245,0.7809,2466,0.5341,24245,0.8017,2466,0.6923
HYUNDAI,IX20,3,35054,0.5356,1937,0.364,35054,0.6685,1937,0.4993,35054,0.6907,1937,0.6281
HYUNDAI,Tucson,3,1675,0.6679,2331,0.4729,1675,0.7535,2331,0.5927,1675,0.8062,2331,0.7427
HYUNDAI,i10 AC3,3,240058,0.596,1046,0.3127,240058,0.7711,1046,0.4017,240058,0.6986,1046,0.6199
HYUNDAI,i30 Stc.,3,116869,0.5823,164,0.3876,116869,0.7202,164,0.5888,116869,0.718,164,0.6143
KIA,CEE'D SW,3,121490,0.5955,3585,0.4105,121490,0.7385,3585,0.5817,121490,0.7219,3585,0.7129
KIA,CEED,3,121490,0.5955,3585,0.4105,121490,0.7385,3585,0.5817,121490,0.7219,3585,0.7129
KIA,CEED SW,3,121490,0.5955,3585,0.4105,121490,0.7385,3585,0.5817,121490,0.7219,3585,0.7129
KIA,PICANTO,3,153315,0.5655,3887,0.298,153315,0.6967,3887,0.4221,153315,0.7233,3887,0.6454
KIA,RIO,3,103626,0.594,2622,0.4038,103626,0.7317,2622,0.5787,103626,0.7277,2622,0.7061
KIA,SPORTAGE,3,146794,0.6568,7796,0.3903,146794,0.7598,7796,0.5464,146794,0.7974,7796,0.6868
KIA,VENGA,3,54501,0.5594,1099,0.3892,54501,0.6977,1099,0.5348,54501,0.7056,1099,0.6049
MAZDA,2,3,118423,0.5879,1899,0.4417,118423,0.7153,1899,0.6797,118423,0.7459,1899,0.6552
MAZDA,3,3,77452,0.6559,2880,0.5232,77452,0.778,2880,0.7144,77452,0.7817,2880,0.8032
MAZDA,CX-3,3,651,0.7006,1002,0.6149,651,0.7939,1002,0.8279,651,0.8619,1002,0.8576
MAZDA,CX-5,3,29142,0.697,14518,0.56,29142,0.7703,14518,0.7196,29142,0.8565,14518,0.8181
MAZDA,MAZDA2,3,118423,0.5879,1899,0.4417,118423,0.7153,1899,0.6797,118423,0.7459,1899,0.6552
MAZDA,MAZDA3,3,77452,0.6559,2880,0.5232,77452,0.778,2880,0.7144,77452,0.7817,2880,0.8032
MAZDA,MAZDA6,3,54563,0.6797,3352,0.5278,54563,0.788,3352,0.6942,54563,0.8087,3352,0.7808
MERCEDES-BENZ,A-Klasse,3,128713,0.6902,6182,0.583,128713,0.8072,6182,0.7437,128713,0.8,6182,0.8548
MERCEDES-BENZ,B-Klasse,3,68724,0.6797,4025,0.4844,68724,0.8009,4025,0.6986,68724,0.7879,4025,0.7087
MERCEDES-BENZ,C,3,286050,0.7243,6797,0.5207,286050,0.8046,6797,0.6968,286050,0.8547,6797,0.8428
MERCEDES-BENZ,C-Klasse,3,286050,0.7243,6797,0.5207,286050,0.8046,6797,0.6968,286050,0.8547,6797,0.8428
MERCEDES-BENZ,CLA,3,14183,0.7362,2171,0.5756,14183,0.8358,2171,0.746,14183,0.8331,2171,0.829
MERCEDES-BENZ,E,3,189294,0.7407,8181,0.5341,189294,0.8241,8181,0.6643,189294,0.8623,8181,0.8607
MERCEDES-BENZ,E-Klasse,3,189294,0.7407,8181,0.5341,189294,0.8241,8181,0.6643,189294,0.8623,8181,0.8607
MERCEDES-BENZ,GLA,3,8307,0.7699,1359,0.6719,8307,0.8478,1359,0.8218,8307,0.8758,1359,0.8921
MINI,COOPER,3,123488,0.7315,3308,0.4899,123488,0.884,3308,0.7043,123488,0.794,3308,0.7191
MITSUBISHI,ASX,3,28271,0.7058,9126,0.575,28271,0.7892,9126,0.6725,28271,0.8416,9126,0.8042
MITSUBISHI,COLT,3,16585,0.5882,1264,0.3992,16585,0.7613,1264,0.5954,16585,0.6984,1264,0.5558
MITSUBISHI,OUTLANDER,3,31149,0.6852,16791,0.4881,31149,0.7888,16791,0.6258,31149,0.8089,16791,0.7243
MITSUBISHI,SPACE STAR,3,8191,0.6866,2090,0.5771,8191,0.8474,2090,0.7336,8191,0.7675,2090,0.7579
NISSAN,JUKE,3,290892,0.5674,1806,0.3285,290892,0.6675,1806,0.4834,290892,0.7517,1806,0.6704
NISSAN,MICRA,3,154077,0.5793,871,0.4301,154077,0.7275,871,0.5641,154077,0.7107,871,0.6415
NISSAN,NOTE,3,165260,0.5994,946,0.4751,165260,0.7409,946,0.6947,165260,0.7308,946,0.6817
NISSAN,QASHQAI,3,471803,0.5764,10874,0.4234,471803,0.6836,10874,0.5953,471803,0.7426,10874,0.7181
NISSAN,Qashqai J11A,3,471803,0.5764,10874,0.4234,471803,0.6836,10874,0.5953,471803,0.7426,10874,0.7181
NISSAN,X-TRAIL,3,25905,0.6374,2381,0.4592,25905,0.7085,2381,0.6631,25905,0.8343,2381,0.7504
OPEL,ASTRA,3,628012,0.654,3710,0.5184,628012,0.7854,3710,0.6453,628012,0.7757,3710,0.7968
OPEL,ASTRA SPORTS TOURER,3,628012,0.654,2062,0.5258,628012,0.7854,2062,0.6536,628012,0.7757,2062,0.7961
OPEL,CORSA,3,826662,0.5727,2051,0.3596,826662,0.7167,2051,0.5371,826662,0.7165,2051,0.6823
OPEL,INSIGNIA,3,262436,0.6803,3483,0.5561,262436,0.8218,3483,0.7663,262436,0.7794,3483,0.7708
OPEL,MERIVA,3,121162,0.6287,854,0.396,121162,0.7489,854,0.5898,121162,0.7734,854,0.7407
OPEL,Mokka,3,92478,0.6244,4582,0.4721,92478,0.7233,4582,0.6805,92478,0.7904,4582,0.7765
OPEL,ZAFIRA,3,234442,0.6308,1038,0.4792,234442,0.7801,1038,0.652,234442,0.7399,1038,0.7532
PEUGEOT,107,3,168415,0.6323,862,0.3235,168415,0.7888,862,0.4108,168415,0.737,862,0.6201
PEUGEOT,108,3,16631,0.6794,301,0.3555,16631,0.8003,301,0.4538,16631,0.8063,301,0.8056
PEUGEOT,2008,3,36594,0.5931,2682,0.3722,36594,0.7136,2682,0.5527,36594,0.7413,2682,0.7387
PEUGEOT,207,3,177957,0.5233,610,0.3165,177957,0.6816,610,0.4874,177957,0.658,610,0.5354
PEUGEOT,208,3,174225,0.5903,5152,0.3892,174225,0.7018,5152,0.5279,174225,0.7543,5152,0.7079
PEUGEOT,3008,3,115672,0.5646,3530,0.4048,115672,0.7208,3530,0.6866,115672,0.69,3530,0.6296
PEUGEOT,308,3,135331,0.5967,4837,0.4418,135331,0.7388,4837,0.6095,135331,0.7308,4837,0.7495
PEUGEOT,5008,3,23824,0.5405,1911,0.3694,23824,0.7232,1911,0.6125,23824,0.6485,1911,0.5777
PEUGEOT,508,3,28705,0.6964,4721,0.4423,28705,0.8308,4721,0.6954,28705,0.7889,4721,0.6632
RENAULT,CLIO,3,239733,0.4921,1622,0.2944,239733,0.6225,1622,0.4459,239733,0.6608,1622,0.601
RENAULT,Captur,3,46791,0.6014,929,0.4292,46791,0.6999,929,0.6559,46791,0.7828,929,0.8055
RENAULT,MEGANE,3,127161,0.5296,1261,0.2603,127161,0.646,1261,0.4337,127161,0.7032,1261,0.5347
RENAULT,MEGANE SPORT TOURER,3,127161,0.5296,1261,0.2603,127161,0.646,1261,0.4337,127161,0.7032,1261,0.5347
RENAULT,Ny Clio,3,239733,0.4921,1622,0.2944,239733,0.6225,1622,0.4459,239733,0.6608,1622,0.601
SKODA,CITIGO,3,44780,0.714,1480,0.45,44780,0.8256,1480,0.5617,44780,0.8236,1480,0.762
SKODA,FABIA,3,174709,0.6776,3929,0.4474,174709,0.7901,3929,0.5893,174709,0.8035,3929,0.7228
SKODA,FABIA COMBI,3,174709,0.6776,3929,0.4474,174709,0.7901,3929,0.5893,174709,0.8035,3929,0.7228
SKODA,OCTAVIA,3,140318,0.7259,19319,0.5284,140318,0.8339,19319,0.7085,140318,0.8291,19319,0.7708
SKODA,OCTAVIA COMBI,3,140318,0.7259,19319,0.5284,140318,0.8339,19319,0.7085,140318,0.8291,19319,0.7708
SKODA,RAPID,3,16202,0.698,1667,0.4589,16202,0.8079,1667,0.6126,16202,0.8145,1667,0.7866
SKODA,RAPID SPACEBACK,3,16202,0.698,1667,0.4589,16202,0.8079,1667,0.6126,16202,0.8145,1667,0.7866
SKODA,SUPERB,3,40016,0.712,6121,0.4402,40016,0.8211,6121,0.704,40016,0.8232,6121,0.7017
SKODA,SUPERB COMBI,3,40016,0.712,6121,0.4402,40016,0.8211,6121,0.704,40016,0.8232,6121,0.7017
SUZUKI,ALTO,3,82714,0.6067,285,0.3116,82714,0.7733,285,0.4333,82714,0.7089,285,0.6006
SUZUKI,SWIFT,3,98816,0.6392,4814,0.4143,98816,0.8071,4814,0.4951,98816,0.7307,4814,0.6506
SUZUKI,SX4,3,35087,0.6178,6632,0.5247,35087,0.7286,6632,0.6814,35087,0.7733,6632,0.7565
SUZUKI,SX4 COMBIBACK,3,35087,0.6178,6632,0.5247,35087,0.7286,6632,0.6814,35087,0.7733,6632,0.7565
SUZUKI,VITARA,3,2144,0.7541,1056,0.6181,2144,0.8939,1056,0.7359,2144,0.8117,1056,0.8217
TOYOTA,AURIS,3,134474,0.7115,23427,0.563,134474,0.8657,23427,0.6716,134474,0.7798,23427,0.7802
TOYOTA,AVENSIS,3,53471,0.7405,12867,0.5936,53471,0.8854,12867,0.7528,53471,0.8022,12867,0.7616
TOYOTA,AVENSIS STW,3,53471,0.7405,12867,0.5936,53471,0.8854,12867,0.7528,53471,0.8022,12867,0.7616
TOYOTA,AYGO,3,178808,0.6397,2298,0.3489,178808,0.7898,2298,0.4642,178808,0.7497,2298,0.6546
TOYOTA,AYGO 3/5-DØRS,3,178808,0.6397,2298,0.3489,178808,0.7898,2298,0.4642,178808,0.7497,2298,0.6546
TOYOTA,AYGO 5-DØRS,3,178808,0.6397,2298,0.3489,178808,0.7898,2298,0.4642,178808,0.7497,2298,0.6546
TOYOTA,COROLLA,3,880,0.7024,284,0.3941,880,0.8826,284,0.5018,880,0.7607,284,0.635
TOYOTA,RAV4,3,27467,0.7818,11242,0.607,27467,0.8847,11242,0.7433,27467,0.8567,11242,0.8313
TOYOTA,RAV4 Plug in,3,27467,0.7818,11242,0.607,27467,0.8847,11242,0.7433,27467,0.8567,11242,0.8313
TOYOTA,VERSO,3,38503,0.6906,3553,0.5148,38503,0.848,3553,0.6432,38503,0.7682,3553,0.6959
TOYOTA,YARIS,3,292490,0.673,21128,0.4181,292490,0.8311,21128,0.5777,292490,0.764,21128,0.7233
TOYOTA,YARIS 5-DØRS,3,292490,0.673,21128,0.4181,292490,0.8311,21128,0.5777,292490,0.764,21128,0.7233
VOLKSWAGEN,CADDY,3,132153,0.6792,1122,0.3962,132153,0.7788,1122,0.6249,132153,0.8088,1122,0.7697
VOLKSWAGEN,GOLF,3,644906,0.732,40607,0.5582,644906,0.8285,40607,0.7357,644906,0.8411,40607,0.828
VOLKSWAGEN,Golf Sportsvan,3,644906,0.732,1676,0.6479,644906,0.8285,1676,0.7991,644906,0.8411,1676,0.8926
VOLKSWAGEN,PASSAT,3,173856,0.7188,16654,0.5138,173856,0.8153,16654,0.733,173856,0.838,16654,0.8233
VOLKSWAGEN,PASSAT VARIANT,3,173856,0.7188,16654,0.5138,173856,0.8153,16654,0.733,173856,0.838,16654,0.8233
VOLKSWAGEN,POLO,3,467717,0.6064,10576,0.3921,467717,0.734,10576,0.5677,467717,0.7437,10576,0.7204
VOLKSWAGEN,TIGUAN,3,118620,0.7192,13669,0.5256,118620,0.8045,13669,0.7761,118620,0.852,13669,0.8267
VOLKSWAGEN,TOURAN,3,66409,0.7088,5455,0.4646,66409,0.8147,5455,0.6975,66409,0.8242,5455,0.7735
VOLKSWAGEN,UP!,3,128355,0.7069,4436,0.4304,128355,0.8286,4436,0.548,128355,0.8104,4436,0.7459
VOLVO,V40,3,62834,0.6867,13394,0.5616,62834,0.7944,13394,0.7545,62834,0.8162,13394,0.8123
VOLVO,V50,3,31633,0.6262,3281,0.4117,31633,0.7542,3281,0.6901,31633,0.7668,3281,0.6409
VOLVO,V60,3,35876,0.737,13953,0.622,35876,0.8637,13953,0.781,35876,0.8221,13953,0.8591
VOLVO,V70,3,24510,0.7676,11477,0.6351,24510,0.894,11477,0.7785,24510,0.8319,11477,0.824
VOLVO,XC60,3,64447,0.747,13968,0.6535,64447,0.8479,13968,0.8662,64447,0.8504,13968,0.8715
VOLVO,XC90,3,41360,0.7082,1135,0.5975,41360,0.844,1135,0.7064,41360,0.797,1135,0.8648
AUDI,A1 SPORTBACK,4,35105,0.6449,183,0.4506,35105,0.7521,183,0.5947,35105,0.7822,183,0.7984
AUDI,A3,4,329091,0.6369,8787,0.3446,329091,0.741,8787,0.5576,329091,0.78,8787,0.6489
AUDI,A3 CABRIOLET,4,329091,0.6369,166,0.3546,329091,0.741,166,0.581,329091,0.78,166,0.6722
AUDI,A3 Sportback,4,329091,0.6369,227,0.3941,329091,0.741,227,0.6629,329091,0.78,227,0.6725
AUDI,A4 AVANT,4,238100,0.685,152,0.5193,238100,0.791,152,0.6583,238100,0.8029,152,0.7763
AUDI,Q3,4,3265,0.7022,293,0.46,3265,0.7916,293,0.7074,3265,0.8329,293,0.7864
AUDI,Q5,4,32587,0.7256,5189,0.4549,32587,0.8025,5189,0.6361,32587,0.8585,5189,0.7169
BMW,1-Serie,4,278804,0.6739,6307,0.3523,278804,0.8026,6307,0.4993,278804,0.7765,6307,0.6633
BMW,3-Serie,4,406242,0.696,10635,0.3337,406242,0.808,10635,0.4958,406242,0.8021,10635,0.6368
BMW,5-Serie,4,134337,0.7381,10877,0.4141,134337,0.8415,10877,0.6112,134337,0.8335,10877,0.7049
BMW,X1,4,23364,0.7119,4390,0.3637,23364,0.835,4390,0.5436,23364,0.8047,4390,0.7541
BMW,X3,4,36548,0.7065,5417,0.4506,36548,0.8185,5417,0.6749,36548,0.8086,5417,0.6985
BMW,X5,4,60059,0.7212,3889,0.4695,60059,0.8244,3889,0.7353,60059,0.8153,3889,0.7465
CITROËN,BERLINGO,4,114153,0.5318,993,0.2468,114153,0.6627,993,0.4126,114153,0.6811,993,0.4525
CITROËN,C 1,4,165674,0.5398,1119,0.244,165674,0.675,1119,0.3313,165674,0.6931,1119,0.5031
CITROËN,C1,4,165674,0.5398,1119,0.244,165674,0.675,1119,0.3313,165674,0.6931,1119,0.5031
CITROËN,C3,4,154590,0.4978,1932,0.2447,154590,0.6396,1932,0.4018,154590,0.6459,1932,0.5185
CITROËN,C3 PICASSO,4,916,0.4965,833,0.2622,916,0.6342,833,0.3945,916,0.6639,833,0.5428
CITROËN,C4,4,104425,0.499,2439,0.2561,104425,0.6595,2439,0.44,104425,0.6275,2439,0.467
CITROËN,C4 PICASSO,4,609,0.4753,1058,0.2436,609,0.6373,1058,0.4202,609,0.5997,1058,0.4026
CITROËN,DS3,4,27264,0.5012,696,0.2573,27264,0.6396,696,0.4065,27264,0.6508,696,0.4937
FIAT,500,4,195462,0.539,2705,0.1803,195462,0.6595,2705,0.3017,195462,0.7012,2705,0.4766
FIAT,PANDA,4,107113,0.5158,101,0.1339,107113,0.6271,101,0.255,107113,0.6976,101,0.5512
FIAT,Punto S7,4,98208,0.5149,347,0.2215,98208,0.6512,347,0.363,98208,0.665,347,0.5281
