dmr_make,dmr_model,age_band,n_tests_all,raw_rate_all,standardized_rate_all,unstable_all,n_tests_mechanical,raw_rate_mechanical,standardized_rate_mechanical,unstable_mechanical,n_tests_consumable,raw_rate_consumable,standardized_rate_consumable,unstable_consumable
KIA,CEE'D SW,2,1150,0.5774,0.5663,False,1150,0.773,0.7671,False,1150,0.7974,0.788,False
KIA,CEE'D SW,3,3585,0.424,0.4105,False,3585,0.5919,0.5817,False,3585,0.7272,0.7129,False
KIA,CEE'D SW,4,742,0.3261,0.316,False,742,0.4865,0.48,False,742,0.5674,0.5444,False
KIA,CEED,1,984,0.8181,0.81,False,984,0.8882,0.885,False,984,0.9441,0.9408,False
KIA,CEED,2,1150,0.5774,0.5663,False,1150,0.773,0.7671,False,1150,0.7974,0.788,False
KIA,CEED,3,3585,0.424,0.4105,False,3585,0.5919,0.5817,False,3585,0.7272,0.7129,False
KIA,CEED,4,742,0.3261,0.316,False,742,0.4865,0.48,False,742,0.5674,0.5444,False
KIA,CEED SW,1,984,0.8181,0.81,False,984,0.8882,0.885,False,984,0.9441,0.9408,False
KIA,CEED SW,2,1150,0.5774,0.5663,False,1150,0.773,0.7671,False,1150,0.7974,0.788,False
KIA,CEED SW,3,3585,0.424,0.4105,False,3585,0.5919,0.5817,False,3585,0.7272,0.7129,False
KIA,CEED SW,4,742,0.3261,0.316,False,742,0.4865,0.48,False,742,0.5674,0.5444,False
KIA,Niro,1,5432,0.8238,0.82,False,5432,0.8779,0.8751,False,5432,0.9361,0.9344,False
KIA,Niro,2,2639,0.6961,0.6792,False,2639,0.7529,0.7395,False,2639,0.911,0.9026,False
KIA,Optima,1,1833,0.7916,0.8219,False,1833,0.8963,0.9132,False,1833,0.9209,0.9308,False
KIA,Optima,2,926,0.6577,0.659,False,926,0.7927,0.7939,False,926,0.8909,0.8918,False
KIA,Optima,3,86,0.3605,,True,86,0.4651,,True,86,0.7907,,True
KIA,Optima,4,1,0.0,,True,1,0.0,,True,1,0.0,,True
KIA,PICANTO,1,563,0.794,,True,563,0.8615,,True,563,0.9414,,True
KIA,PICANTO,2,1280,0.582,0.4698,False,1280,0.6695,0.5748,False,1280,0.8938,0.8407,False
KIA,PICANTO,3,3887,0.4091,0.298,False,3887,0.5151,0.4221,False,3887,0.7489,0.6454,False
KIA,PICANTO,4,652,0.2638,0.1756,False,652,0.3788,0.2732,False,652,0.6166,0.519,False
KIA,RIO,1,599,0.8447,0.8323,False,599,0.9098,0.9041,False,599,0.9482,0.9428,False
KIA,RIO,2,1154,0.7002,0.6436,False,1154,0.7808,0.7527,False,1154,0.8847,0.8383,False
KIA,RIO,3,2622,0.484,0.4038,False,2622,0.6358,0.5787,False,2622,0.775,0.7061,False
KIA,RIO,4,248,0.379,0.3781,False,248,0.5484,0.5194,False,248,0.6613,0.6224,False
KIA,SPORTAGE,1,1259,0.8094,0.8249,False,1259,0.8737,0.8839,False,1259,0.9357,0.9418,False
KIA,SPORTAGE,2,3281,0.5968,0.6001,False,3281,0.7089,0.7128,False,3281,0.819,0.8203,False
KIA,SPORTAGE,3,7796,0.3829,0.3903,False,7796,0.5414,0.5464,False,7796,0.6832,0.6868,False
KIA,SPORTAGE,4,1242,0.306,0.3128,False,1242,0.4871,0.4909,False,1242,0.6457,0.6442,False
KIA,Stonic,1,630,0.8349,0.7859,False,630,0.881,0.847,False,630,0.9508,0.9401,False
KIA,Stonic,2,93,0.6774,,True,93,0.7634,,True,93,0.914,,True
KIA,VENGA,1,6,0.6667,,True,6,0.6667,,True,6,1.0,,True
KIA,VENGA,2,273,0.6593,0.5921,False,273,0.7619,0.7461,False,273,0.8168,0.7409,False
KIA,VENGA,3,1099,0.4823,0.3892,False,1099,0.6087,0.5348,False,1099,0.6961,0.6049,False
