dmr_make,dmr_model,dk_vehicle_count,dk_sample_variants,proposed_dvsa_make,proposed_dvsa_model_token,uk_test_count,confidence,rule_fired,decision
OPEL,ASTRA,14759,"1,0 Turbo 105HK Sports Tourer; 1,4 Turbo 150HK Sports Tourer; 1,0 Turbo 105HK 5-dørs",VAUXHALL,ASTR,3,medium,name_similarity_firsttoken,
OPEL,ASTRA,14759,"1,0 Turbo 105HK Sports Tourer; 1,4 Turbo 150HK Sports Tourer; 1,0 Turbo 105HK 5-dørs",VAUXHALL,ASTAR,3,medium,name_similarity_firsttoken,
FORD,FOCUS,14472,1.0 EcoBoost (125 HK) Stationcar Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Stationcar FWD M6; 1.0 EcoBoost (125 HK ) Stationcar FWD M6,FORD,FOCUS,2291752,high,name_similarity_firsttoken,
FORD,FOCUS,14472,1.0 EcoBoost (125 HK) Stationcar Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Stationcar FWD M6; 1.0 EcoBoost (125 HK ) Stationcar FWD M6,FORD,FOUCS,5,medium,name_similarity_firsttoken,
FORD,FOCUS,14472,1.0 EcoBoost (125 HK) Stationcar Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Stationcar FWD M6; 1.0 EcoBoost (125 HK ) Stationcar FWD M6,FORD,FOLUS,4,medium,name_similarity_firsttoken,
FORD,FOCUS,14472,1.0 EcoBoost (125 HK) Stationcar Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Stationcar FWD M6; 1.0 EcoBoost (125 HK ) Stationcar FWD M6,FORD,LOCUST,2,medium,name_similarity_firsttoken,
FORD,FOCUS,14472,1.0 EcoBoost (125 HK) Stationcar Forhjulstræk Manuel; 1.0 EcoBoost (125 HK) Stationcar FWD M6; 1.0 EcoBoost (125 HK ) Stationcar FWD M6,FORD,FOCAS,1,medium,name_similarity_firsttoken,
CHEVROLET,SPARK,12832,1.0 ESP 5D; 1.2 ESP 5D; 1.0 5D,CHEVROLET,SPARK,37235,high,name_similarity_firsttoken,
CHEVROLET,SPARK,12832,1.0 ESP 5D; 1.2 ESP 5D; 1.0 5D,CHEVROLET,STAR,4,medium,name_similarity_firsttoken,
FORD,KA,12679,"1.2 (69HK) Hatchback, 3 dørs Forhjulstræk Manuel; 1,2; 1,2 SE",FORD,KA,437995,exact,short_code_exact,
MERCEDES-BENZ,C-Klasse,12063,220 d Stationcar 9G-TRONIC; 220 d Sedan 9G-TRONIC; 220 d St.Car 7G-TRONIC PLUS,MERCEDES-BENZ,C,879779,exact,short_code_exact,
SEAT,MII,11905,1.0 60 HK 44 kw ECOMOTIVE 5-DØRS 5 trins manuel; 1.0 60 HK ECOMOTIVE 5-DØRS; 1.0 60 HK ECOMOTIVE 3-DØRS,SEAT,MII,44001,exact,short_code_exact,
PEUGEOT,3008,11806,HYBRID 225 SUV EAT8; BlueHDi 130 SUV EAT8; 1.6 BlueHDi 120 hk SUV,PEUGEOT,3008,349581,exact,code_exact,
FIAT,500,11378,"1.2 69; 1,2; 0.9 80",FIAT,500,1046964,exact,code_exact,
TOYOTA,AURIS,10970,1.8 Hybrid Touring Sports; 1.8 Hybrid Hatchback; 1.6 Valvematic Hatchback,TOYOTA,YARIS,1114899,medium,name_similarity_firsttoken,
TOYOTA,AURIS,10970,1.8 Hybrid Touring Sports; 1.8 Hybrid Hatchback; 1.6 Valvematic Hatchback,TOYOTA,AURIS,359334,high,name_similarity_firsttoken,
TOYOTA,AURIS,10970,1.8 Hybrid Touring Sports; 1.8 Hybrid Hatchback; 1.6 Valvematic Hatchback,TOYOTA,AURUS,6,medium,name_similarity_firsttoken,
TOYOTA,AURIS,10970,1.8 Hybrid Touring Sports; 1.8 Hybrid Hatchback; 1.6 Valvematic Hatchback,TOYOTA,AUIRS,2,medium,name_similarity_firsttoken,
TOYOTA,AURIS,10970,1.8 Hybrid Touring Sports; 1.8 Hybrid Hatchback; 1.6 Valvematic Hatchback,TOYOTA,AYRIS,2,medium,name_similarity_firsttoken,
SUZUKI,VITARA,9524,"1,6 5-dørs; 1,4 Hybrid 5-dørs; 1,4 Boosterjet 5-dørs",SUZUKI,VITARA,152723,high,name_similarity_firsttoken,
SUZUKI,VITARA,9524,"1,6 5-dørs; 1,4 Hybrid 5-dørs; 1,4 Boosterjet 5-dørs",SUZUKI,GRANDVITARA,9,medium,name_similarity_firsttoken,
SUZUKI,VITARA,9524,"1,6 5-dørs; 1,4 Hybrid 5-dørs; 1,4 Boosterjet 5-dørs",SUZUKI,VITRA,6,high,name_similarity_firsttoken,
SUZUKI,VITARA,9524,"1,6 5-dørs; 1,4 Hybrid 5-dørs; 1,4 Boosterjet 5-dørs",SUZUKI,VITARIA,3,high,name_similarity_firsttoken,
SUZUKI,VITARA,9524,"1,6 5-dørs; 1,4 Hybrid 5-dørs; 1,4 Boosterjet 5-dørs",SUZUKI,GRAND/VITARA,2,medium,name_similarity_firsttoken,
RENAULT,MEGANE,9277,1.5 dCi ESM 110 Sport Tourer; E-TECH 160 Sport Tourer; 1.5 dCi ESM 110,RENAULT,MEGANE,270742,high,name_similarity_firsttoken,
