dmr_make,dmr_model,age_band,reliability_source_count,reliability_agreement,combined_reliability_z,combined_reliability_variance,reliability_effective_n,uk_z,no_z,reliability_confidence
KIA,Optima,1,1,,0.0331,0.003496,23133,0.0331,,medium
KIA,Optima,2,1,,0.5309,0.003346,13045,0.5309,,medium
KIA,Optima,3,1,,-0.096,0.0094,3942,-0.096,,medium
KIA,PICANTO,1,1,,-1.0597,0.000397,165041,-1.0597,,medium
KIA,PICANTO,2,1,,-0.9904,0.000208,158917,-0.9904,,medium
KIA,PICANTO,3,2,1.4108,-1.2194,0.000218,157202,-1.1934,-2.6042,low
KIA,PICANTO,4,1,,-1.358,0.000331,125947,-1.358,,medium
KIA,RIO,1,1,,-0.3422,0.000999,75096,-0.3422,,medium
KIA,RIO,2,1,,-0.6432,0.000296,117793,-0.6432,,medium
KIA,RIO,3,2,0.3001,-0.8613,0.000328,106248,-0.8549,-1.1549,high
KIA,RIO,4,1,,-0.9551,0.000716,58214,-0.9551,,medium
KIA,SPORTAGE,1,1,,-0.1758,0.000208,373513,-0.1758,,medium
KIA,SPORTAGE,2,2,0.9412,0.0054,0.000129,304466,0.0149,-0.9263,medium
KIA,SPORTAGE,3,2,1.2518,-0.1363,0.000241,154590,-0.0781,-1.3299,low
KIA,SPORTAGE,4,1,,-0.1564,0.000902,47231,-0.1564,,medium
KIA,Stonic,1,1,,0.3394,0.001803,47837,0.3394,,medium
KIA,Stonic,2,1,,0.8414,0.015764,2973,0.8414,,medium
KIA,VENGA,1,1,,-0.0616,0.001742,45539,-0.0616,,medium
KIA,VENGA,2,1,,-0.8083,0.000507,66927,-0.8083,,medium
KIA,VENGA,3,1,,-1.2663,0.000623,54501,-1.2663,,medium
KIA,VENGA,4,1,,-0.8453,0.002789,14962,-0.8453,,medium
KIA,XCeed,1,1,,0.4319,0.006752,13029,0.4319,,medium
MAZDA,3,3,1,,0.3419,0.013394,2880,,0.3419,low
MAZDA,3,4,1,,-0.2807,0.01336,3328,,-0.2807,medium
MAZDA,CX-3,1,2,0.72,0.6827,0.001534,59125,0.7408,0.0209,medium
MAZDA,CX-3,2,2,0.4164,0.3936,0.001323,32444,0.3369,0.7532,high
MAZDA,CX-5,1,2,0.7101,0.4502,0.000842,101569,0.5235,-0.1866,medium
MAZDA,CX-5,2,2,0.3004,0.4002,0.00049,87693,0.4289,0.1284,high
MAZDA,CX-5,3,2,0.3464,0.5718,0.000903,43660,0.4555,0.8019,high
MAZDA,MAZDA2,1,1,,0.1047,0.000899,91325,0.1047,,medium
MAZDA,MAZDA2,2,1,,-0.4142,0.000339,106567,-0.4142,,medium
MAZDA,MAZDA2,3,1,,-0.9267,0.000292,118423,-0.9267,,medium
MAZDA,MAZDA2,4,1,,-0.8155,0.000318,131257,-0.8155,,medium
MAZDA,MAZDA3,1,1,,-0.5821,0.000875,81785,-0.5821,,medium
MAZDA,MAZDA3,2,1,,-0.3073,0.000344,107141,-0.3073,,medium
MAZDA,MAZDA3,3,2,0.4302,-0.0735,0.000462,80332,-0.0883,0.3419,high
MAZDA,MAZDA3,4,2,0.2337,-0.5076,0.000388,108408,-0.5144,-0.2807,high
MAZDA,MAZDA6,1,1,,0.1724,0.001722,48336,0.1724,,medium
MAZDA,MAZDA6,2,1,,0.1839,0.000583,69498,0.1839,,medium
MAZDA,MAZDA6,3,2,0.1783,0.2311,0.000664,57915,0.2208,0.3991,high
MAZDA,MAZDA6,4,2,0.2629,-0.0108,0.000693,62144,0.0067,-0.2562,high
MAZDA,Mazda CX-30,1,1,,1.2935,0.01062,10055,1.2935,,medium
MERCEDES-BENZ,A-Klasse,1,2,0.7186,0.2388,0.000175,480309,0.2334,0.952,medium
MERCEDES-BENZ,A-Klasse,2,1,,0.1174,0.000119,336383,0.1174,,medium
MERCEDES-BENZ,A-Klasse,3,2,0.7331,0.3934,0.00029,134895,0.3602,1.0933,medium
MERCEDES-BENZ,A-Klasse,4,1,,-0.1049,0.000415,103039,-0.1049,,medium
MERCEDES-BENZ,B-Klasse,1,1,,0.2952,0.001645,51926,0.2952,,medium
MERCEDES-BENZ,B-Klasse,2,1,,0.1747,0.000543,74455,0.1747,,medium
MERCEDES-BENZ,B-Klasse,3,2,0.3606,0.2009,0.000528,72749,0.2208,-0.1398,high
MERCEDES-BENZ,B-Klasse,4,2,0.6161,-0.249,0.000666,64338,-0.2132,-0.8292,medium
MERCEDES-BENZ,C,1,1,,0.3187,0.015126,3637,,0.3187,medium
MERCEDES-BENZ,C,2,1,,-0.1629,0.007618,5861,,-0.1629,medium
MERCEDES-BENZ,C,3,1,,0.3108,0.005673,6797,,0.3108,medium
MERCEDES-BENZ,C,4,1,,0.122,0.005476,7755,,0.122,medium
MERCEDES-BENZ,C-Klasse,1,2,0.1426,0.4589,0.000256,343478,0.4613,0.3187,high
MERCEDES-BENZ,C-Klasse,2,2,0.8829,0.7066,0.000116,392748,0.72,-0.1629,medium
MERCEDES-BENZ,C-Klasse,3,2,0.5275,0.8251,0.000143,292847,0.8384,0.3108,medium
MERCEDES-BENZ,C-Klasse,4,2,0.8069,0.9017,0.000185,248606,0.929,0.122,medium
MERCEDES-BENZ,CLA,1,1,,-0.119,0.000826,94884,-0.119,,medium
MERCEDES-BENZ,CLA,2,1,,0.3275,0.000596,70093,0.3275,,medium
MERCEDES-BENZ,CLA,3,1,,1.0146,0.003039,14183,1.0146,,medium
MERCEDES-BENZ,E,1,1,,0.6214,0.014056,4198,,0.6214,medium
MERCEDES-BENZ,E,2,1,,0.2968,0.012479,3761,,0.2968,medium
MERCEDES-BENZ,E,3,1,,0.4776,0.004727,8181,,0.4776,medium
MERCEDES-BENZ,E,4,1,,1.403,0.003451,11198,,1.403,medium
MERCEDES-BENZ,E-Klasse,1,2,0.2055,0.4212,0.000362,239872,0.4159,0.6214,high
MERCEDES-BENZ,E-Klasse,2,2,0.4403,0.7307,0.000182,250893,0.7372,0.2968,high
MERCEDES-BENZ,E-Klasse,3,2,0.6029,1.0525,0.000219,197475,1.0805,0.4776,medium
MERCEDES-BENZ,E-Klasse,4,2,0.3029,1.6727,0.000378,129721,1.7059,1.403,high
MERCEDES-BENZ,GLA,1,1,,0.5727,0.000575,157652,0.5727,,medium
MERCEDES-BENZ,GLA,2,1,,0.587,0.000518,85299,0.587,,medium
MERCEDES-BENZ,GLA,3,1,,1.5379,0.005686,8307,1.5379,,medium
MERCEDES-BENZ,GLB,1,1,,1.2548,0.023035,4594,1.2548,,medium
MERCEDES-BENZ,GLC,1,2,0.3399,1.0183,0.000579,169697,1.0389,0.6989,high
MERCEDES-BENZ,GLC,2,2,0.8571,1.2656,0.000934,56314,1.35,0.4929,medium
MERCEDES-BENZ,GLE,1,1,,1.242,0.001895,55673,1.242,,medium
MERCEDES-BENZ,GLE,2,1,,1.9843,0.002398,26238,1.9843,,medium
MINI,COOPER,1,1,,0.4292,0.000194,452448,0.4292,,medium
MINI,COOPER,2,1,,0.7786,0.000132,349893,0.7786,,medium
MINI,COOPER,3,2,1.0165,0.9157,0.000335,126796,0.945,-0.0715,low
MINI,COOPER,4,2,0.9872,0.2747,0.001637,27006,0.3675,-0.6196,medium
MITSUBISHI,ASX,1,1,,0.518,0.002944,30442,0.518,,medium
MITSUBISHI,ASX,2,1,,0.2389,0.000969,42309,0.2389,,medium
MITSUBISHI,ASX,3,2,0.4145,0.68,0.001072,37397,0.5771,0.9915,high
MITSUBISHI,ASX,4,2,0.3133,1.0784,0.003397,12625,0.9376,1.2509,high
MITSUBISHI,COLT,3,1,,-0.9231,0.002083,16585,-0.9231,,medium
MITSUBISHI,COLT,4,2,0.1132,-1.1022,0.000728,57666,-1.1075,-0.9943,high
MITSUBISHI,OUTLANDER,1,2,1.0899,0.3033,0.000573,135156,0.6644,-0.4255,low
MITSUBISHI,OUTLANDER,2,2,0.774,0.3343,0.000337,128019,0.4659,-0.3082,medium
MITSUBISHI,OUTLANDER,3,2,0.3881,0.1577,0.000807,47940,0.2942,-0.0939,high
MITSUBISHI,OUTLANDER,4,2,0.3234,-0.1127,0.001428,30490,-0.0079,-0.3313,high
MITSUBISHI,SPACE STAR,1,1,,-0.3126,0.00576,13095,-0.3126,,medium
MITSUBISHI,SPACE STAR,2,1,,-0.0567,0.002159,17894,-0.0567,,medium
MITSUBISHI,SPACE STAR,3,1,,0.3103,0.004746,8191,0.3103,,medium
