dmr_make,dmr_model,age_band,n_tests_all,raw_rate_all,standardized_rate_all,unstable_all,n_tests_mechanical,raw_rate_mechanical,standardized_rate_mechanical,unstable_mechanical,n_tests_consumable,raw_rate_consumable,standardized_rate_consumable,unstable_consumable
FORD,MONDEO,4,233319,0.5756,0.6152,False,233319,0.7106,0.7474,False,233319,0.7054,0.7373,False
FORD,MONDEO STATIONCAR,1,99610,0.8403,0.8651,False,99610,0.9653,0.9766,False,99610,0.8623,0.8812,False
FORD,MONDEO STATIONCAR,2,170752,0.7646,0.81,False,170752,0.8963,0.9268,False,170752,0.8222,0.8551,False
FORD,MONDEO STATIONCAR,3,179621,0.6497,0.6968,False,179621,0.7948,0.83,False,179621,0.7517,0.7909,False
FORD,MONDEO STATIONCAR,4,233319,0.5756,0.6152,False,233319,0.7106,0.7474,False,233319,0.7054,0.7373,False
FORD,NY Focus,1,636311,0.8397,0.8434,False,636311,0.9511,0.9524,False,636311,0.8739,0.877,False
FORD,NY Focus,2,836756,0.7412,0.7517,False,836756,0.8741,0.8804,False,836756,0.8159,0.8236,False
FORD,NY Focus,3,815540,0.6262,0.6391,False,815540,0.7783,0.7871,False,815540,0.7374,0.7484,False
FORD,NY Focus,4,852885,0.5707,0.5803,False,852885,0.7303,0.7376,False,852885,0.6866,0.694,False
FORD,PUMA,1,39588,0.8958,0.8741,False,39588,0.9695,0.9553,False,39588,0.9201,0.9074,False
FORD,PUMA,4,5,1.0,,True,5,1.0,,True,5,1.0,,True
FORD,S-MAX,1,40516,0.8013,0.8121,False,40516,0.9569,0.9605,False,40516,0.8289,0.8381,False
FORD,S-MAX,2,65735,0.7149,0.7416,False,65735,0.865,0.885,False,65735,0.7926,0.81,False
FORD,S-MAX,3,83367,0.6249,0.6595,False,83367,0.7677,0.7956,False,83367,0.7454,0.7719,False
FORD,S-MAX,4,89876,0.5612,0.6046,False,89876,0.7003,0.7443,False,89876,0.6942,0.7274,False
FORD,Transit Custom Kombi,1,239544,0.7778,0.8156,False,239544,0.9281,0.9465,False,239544,0.8152,0.8461,False
FORD,Transit Custom Kombi,2,11477,0.7261,0.7606,False,11477,0.8661,0.8881,False,11477,0.796,0.8262,False
FORD,Transit Custom Kombi,3,473,0.5899,0.6029,False,473,0.6702,0.6844,False,473,0.7526,0.7797,False
FORD,Transit Custom Kombi,4,31,0.4839,,True,31,0.6129,,True,31,0.7097,,True
HONDA,CIVIC,1,151099,0.8588,0.8573,False,151099,0.9687,0.9679,False,151099,0.8797,0.8786,False
HONDA,CIVIC,2,176814,0.8076,0.8097,False,176814,0.9465,0.9472,False,176814,0.8385,0.8403,False
HONDA,CIVIC,3,169956,0.6819,0.6896,False,169956,0.8604,0.8647,False,169956,0.7446,0.7511,False
HONDA,CIVIC,4,312866,0.561,0.5791,False,312866,0.7358,0.7512,False,312866,0.6622,0.678,False
HONDA,CR-V,1,116770,0.8927,0.8927,False,116770,0.9727,0.9726,False,116770,0.9129,0.9128,False
HONDA,CR-V,2,164910,0.8466,0.8511,False,164910,0.9372,0.9392,False,164910,0.8912,0.8944,False
HONDA,CR-V,3,144194,0.777,0.7872,False,144194,0.8875,0.8938,False,144194,0.8468,0.8541,False
HONDA,CR-V,4,175768,0.6458,0.6859,False,175768,0.7742,0.8072,False,175768,0.7588,0.7898,False
