dmr_make,dmr_model,age_band,dk_vehicle_count,n_nt_tests,meets_stability_floor,raw_pass_rate,standardized_pass_rate,reliability_unstable,repair_burden_index,median_annual_fuel_cost_dkk,median_annual_ejerafgift_dkk,median_power_to_weight_wkg,median_weight_kg,median_cylinder_count,engagement_score,engagement_pct_power_to_weight,engagement_pct_cylinder_count,engagement_pct_weight_inverted
PEUGEOT,308,4,4026,70894,True,0.5217,0.5263,False,1.6858,12316.901408450702,3960.0,51.09034267912772,1464.0,4.0,0.3331,0.1223,0.6246,0.4227
PEUGEOT,5008,1,695,28010,True,0.7913,0.8027,False,0.4791,11506.578947368418,3380.0,59.040590405904055,1626.0,4.0,0.4192,0.3741,0.6246,0.2239
PEUGEOT,5008,2,2119,10086,True,0.6205,0.643,False,1.0689,11259.656652360512,3380.0,59.07692307692307,1589.0,4.0,0.4331,0.3755,0.6246,0.2897
PEUGEOT,5008,3,353,11337,True,0.5025,0.5257,False,1.743,12316.901408450702,3960.0,55.81395348837209,1615.0,4.0,0.3727,0.2725,0.6246,0.2454
PEUGEOT,5008,4,913,6766,True,0.4845,0.5101,False,1.9682,13880.952380952382,4960.0,51.99746353836398,1668.0,4.0,0.2963,0.1466,0.6246,0.1781
PEUGEOT,508,1,1749,8420,True,0.8144,0.8241,False,0.3784,6570.866141732284,1140.0,71.89189189189189,1814.0,4.0,0.6078,0.8004,0.6246,0.1009
PEUGEOT,508,2,582,5014,True,0.731,0.7606,False,0.7545,9540.0,2440.0,62.745098039215684,1540.0,4.0,0.5015,0.4914,0.6246,0.3419
PEUGEOT,508,3,559,14828,True,0.6495,0.6924,False,1.0507,11023.109243697478,2920.0,56.0,1600.0,4.0,0.382,0.2797,0.6246,0.274
PEUGEOT,508,4,1835,4795,True,0.6344,0.669,False,1.1508,12612.980769230766,3960.0,61.27305175490779,1618.0,4.0,0.46,0.4514,0.6246,0.2346
RENAULT,CLIO,1,4448,94233,True,0.7502,0.7363,False,0.5176,10744.635193133046,1520.0,63.51931330472103,1165.0,3.0,0.4671,0.5322,0.1454,0.7868
RENAULT,CLIO,2,556,131491,True,0.5957,0.5832,False,1.069,9779.296875,1400.0,63.51931330472103,1165.0,3.0,0.4671,0.5322,0.1454,0.7868
RENAULT,CLIO,3,68,119224,True,0.5207,0.5125,False,1.49,9437.05035971223,1960.0,52.50596658711217,1196.0,4.0,0.4146,0.1595,0.6246,0.7375
RENAULT,CLIO,4,3217,139325,True,0.4684,0.4556,False,1.8945,13532.432432432433,2580.0,46.84838160136287,1174.0,4.0,0.3647,0.0465,0.6246,0.7704
RENAULT,Captur,1,5636,105535,True,0.8303,0.8096,False,0.3343,11590.277777777777,1600.0,52.34375,1370.0,4.0,0.3786,0.1552,0.6246,0.568
RENAULT,Captur,2,5436,128897,True,0.7314,0.7087,False,0.639,12272.058823529414,2440.0,52.88461538461539,1248.0,3.0,0.2617,0.1652,0.1454,0.6774
RENAULT,Captur,3,7019,45734,True,0.6211,0.6042,False,1.0137,12272.058823529414,1760.0,55.932203389830505,1245.0,0.0,0.2773,0.2775,0.0093,0.6788
RENAULT,Captur,4,790,0,False,,,True,,12272.058823529414,920.0,51.36186770428015,1286.0,3.0,0.2401,0.1295,0.1454,0.6588
RENAULT,GRAND SCENIC,1,97,3939,True,0.7075,0.7228,False,0.6277,11211.538461538463,3600.0,50.720461095100866,1735.0,4.0,0.2712,0.113,0.6246,0.1366
RENAULT,GRAND SCENIC,2,1796,7127,True,0.6148,0.6369,False,1.0094,11211.538461538463,3380.0,50.720461095100866,1615.0,4.0,0.293,0.113,0.6246,0.2454
RENAULT,GRAND SCENIC,3,1363,7222,True,0.5115,0.5411,False,1.5478,10752.04918032787,2920.0,53.60688285903375,1600.0,0.0,0.1524,0.1896,0.0093,0.274
RENAULT,GRAND SCENIC,4,2013,17063,True,0.4887,0.5085,False,1.8961,12316.901408450702,3960.0,56.37110980622431,1615.0,4.0,0.3806,0.2883,0.6246,0.2454
RENAULT,Kadjar,1,349,59960,True,0.7932,0.7925,False,0.4426,12971.502590673575,2440.0,71.67710508002784,1437.0,4.0,0.6802,0.7933,0.6246,0.4807
RENAULT,Kadjar,2,2599,68929,True,0.7076,0.7125,False,0.7891,11259.656652360512,2780.0,64.42953020134229,1455.0,4.0,0.5616,0.5701,0.6246,0.4456
RENAULT,Kadjar,3,1400,438,False,0.5936,,True,1.381,9975.28517110266,2780.0,55.670103092783506,1455.0,0.0,0.2253,0.2668,0.0093,0.4456
RENAULT,MEGANE,1,1293,12718,True,0.7718,0.7803,False,0.4823,7363.235294117648,1200.0,42.99065420560748,1605.0,4.0,0.2475,0.0136,0.6246,0.2668
RENAULT,MEGANE,2,3469,32455,True,0.6393,0.6597,False,0.9778,9716.666666666666,2440.0,58.39942321557318,1387.0,4.0,0.4734,0.3555,0.6246,0.5415
RENAULT,MEGANE,3,2940,46534,True,0.5209,0.5382,False,1.5894,9173.076923076922,1960.0,59.31612002791347,1383.0,0.0,0.3047,0.3841,0.0093,0.5494
RENAULT,MEGANE,4,1575,74840,True,0.4898,0.4992,False,1.9164,9173.076923076922,1960.0,55.823569951757406,1450.0,4.0,0.4154,0.274,0.6246,0.4549
RENAULT,MEGANE SPORT TOURER,1,3,12718,True,0.7718,0.7803,False,0.4823,6588.1578947368425,1140.0,39.78622327790974,1684.0,4.0,0.2222,0.0036,0.6246,0.1652
RENAULT,MEGANE SPORT TOURER,2,8,32455,True,0.6393,0.6597,False,0.9778,9716.666666666666,2780.0,56.44599303135889,1435.0,4.0,0.4311,0.2926,0.6246,0.4871
RENAULT,MEGANE SPORT TOURER,3,11,46534,True,0.5209,0.5382,False,1.5894,9437.05035971223,2780.0,56.682995101469565,1443.0,4.0,0.4341,0.3054,0.6246,0.47
RENAULT,MEGANE SPORT TOURER,4,1636,74840,True,0.4898,0.4992,False,1.9164,11557.268722466959,2920.0,60.44776119402985,1340.0,4.0,0.5197,0.4227,0.6246,0.6044
RENAULT,Ny Clio,1,506,94233,True,0.7502,0.7363,False,0.5176,11590.277777777777,1600.0,55.09181969949917,1198.0,3.0,0.3086,0.2368,0.1454,0.7332
RENAULT,Ny Clio,2,10589,131491,True,0.5957,0.5832,False,1.069,11379.545454545456,1600.0,56.65236051502146,1165.0,3.0,0.3523,0.3026,0.1454,0.7868
RENAULT,Ny Clio,3,11367,119224,True,0.5207,0.5125,False,1.49,11277.027027027028,920.0,54.14273995077932,1164.0,0.0,0.2628,0.2024,0.0093,0.794
RENAULT,Ny Clio,4,4514,139325,True,0.4684,0.4556,False,1.8945,10744.635193133046,1760.0,52.030158736077496,1241.0,4.0,0.3982,0.1481,0.6246,0.6838
RENAULT,SCENIC,1,12,2211,True,0.8051,0.7952,False,0.3746,12213.917234201417,3430.0,60.5826246453895,1633.0,4.0,0.4445,0.427,0.6246,0.2182
RENAULT,SCENIC,2,721,10620,True,0.6681,0.6645,False,0.8375,10493.999999999998,2780.0,53.820598006644516,1505.0,0.0,0.1745,0.1938,0.0093,0.3741
RENAULT,SCENIC,3,237,17592,True,0.5624,0.5634,False,1.2526,10752.04918032787,2920.0,54.21686746987952,1491.0,0.0,0.1854,0.2082,0.0093,0.3927
RENAULT,SCENIC,4,907,25944,True,0.5178,0.5206,False,1.6877,11817.567567567568,3960.0,55.47945205479452,1460.0,4.0,0.4036,0.2582,0.6246,0.4356
RENAULT,TWINGO,1,18,2565,True,0.8242,0.7777,False,0.3547,10956.288784187545,1520.0,54.60060667340748,989.0,3.0,0.3383,0.2196,0.1454,0.9242
RENAULT,TWINGO,2,617,17066,True,0.696,0.6314,False,0.6746,10518.90756302521,920.0,55.31914893617021,940.0,0.0,0.323,0.2532,0.0093,0.9678
